,feature,variable,type,effect_size,pval,padj,abs_effect_size
18039,F3925,n_counts,continuous,-0.9444496631622314,0.0,0.0,0.9444496631622314
34738,F3810,cell_type,categorical,0.925594898592167,0.0,0.0,0.925594898592167
36558,F9398,cell_type,categorical,0.9250191597674452,0.0,0.0,0.9250191597674452
36576,F9474,cell_type,categorical,0.9225477461705714,0.0,0.0,0.9225477461705714
34978,F4533,cell_type,categorical,0.9220913888673563,0.0,0.0,0.9220913888673563
36118,F8061,cell_type,categorical,0.916125224828745,0.0,0.0,0.916125224828745
34404,F2780,cell_type,categorical,0.9134466415569045,0.0,0.0,0.9134466415569045
35590,F6458,cell_type,categorical,0.9103512556597324,0.0,0.0,0.9103512556597324
35522,F6234,cell_type,categorical,0.9046150444972092,0.0,0.0,0.9046150444972092
34940,F4423,cell_type,categorical,0.9015444599554412,0.0,0.0,0.9015444599554412
35617,F6562,cell_type,categorical,0.8989521213996103,0.0,0.0,0.8989521213996103
33692,F612,cell_type,categorical,0.8988408087813883,0.0,0.0,0.8988408087813883
35363,F5730,cell_type,categorical,0.8974027741609283,0.0,0.0,0.8974027741609283
34749,F3840,cell_type,categorical,0.8953679925194814,0.0,0.0,0.8953679925194814
34610,F3395,cell_type,categorical,0.8926791200876607,0.0,0.0,0.8926791200876607
36761,F10071,cell_type,categorical,0.886388359008323,0.0,0.0,0.886388359008323
34659,F3561,cell_type,categorical,0.8845968880533147,0.0,0.0,0.8845968880533147
35748,F6929,cell_type,categorical,0.8835461875590798,0.0,0.0,0.8835461875590798
35855,F7271,cell_type,categorical,0.8832950965718644,0.0,0.0,0.8832950965718644
34508,F3085,cell_type,categorical,0.88325506220691,0.0,0.0,0.88325506220691
35249,F5405,cell_type,categorical,0.882550086548879,0.0,0.0,0.882550086548879
34151,F1960,cell_type,categorical,0.8805169365908954,0.0,0.0,0.8805169365908954
36172,F8220,cell_type,categorical,0.8803614801893843,0.0,0.0,0.8803614801893843
35894,F7382,cell_type,categorical,0.8796801455706852,0.0,0.0,0.8796801455706852
35462,F6042,cell_type,categorical,0.8783103071789575,0.0,0.0,0.8783103071789575
34050,F1717,cell_type,categorical,0.8782286748143143,0.0,0.0,0.8782286748143143
36017,F7764,cell_type,categorical,0.8775199369314935,0.0,0.0,0.8775199369314935
36718,F9943,cell_type,categorical,0.8769544926884739,0.0,0.0,0.8769544926884739
35525,F6246,cell_type,categorical,0.8758692924164106,0.0,0.0,0.8758692924164106
35700,F6799,cell_type,categorical,0.8750410690200594,0.0,0.0,0.8750410690200594
33584,F313,cell_type,categorical,0.8747943222045963,0.0,0.0,0.8747943222045963
36825,F10270,cell_type,categorical,0.8721673648129459,0.0,0.0,0.8721673648129459
21387,F3925,n_genes,continuous,-0.8718962669372559,0.0,0.0,0.8718962669372559
36064,F7902,cell_type,categorical,0.8714823860070426,0.0,0.0,0.8714823860070426
35332,F5639,cell_type,categorical,0.8702737964850685,0.0,0.0,0.8702737964850685
36226,F8396,cell_type,categorical,0.8682616169793299,0.0,0.0,0.8682616169793299
36310,F8608,cell_type,categorical,0.8675601563799212,0.0,0.0,0.8675601563799212
35843,F7243,cell_type,categorical,0.8664289600674074,0.0,0.0,0.8664289600674074
36487,F9130,cell_type,categorical,0.8662475504090683,0.0,0.0,0.8662475504090683
34709,F3726,cell_type,categorical,0.8658973782959325,0.0,0.0,0.8658973782959325
36174,F8225,cell_type,categorical,0.8654759937422006,0.0,0.0,0.8654759937422006
33929,F1334,cell_type,categorical,0.8653025483394899,0.0,0.0,0.8653025483394899
36629,F9628,cell_type,categorical,0.8652317412031956,0.0,0.0,0.8652317412031956
34340,F2572,cell_type,categorical,0.8644041111585815,0.0,0.0,0.8644041111585815
36263,F8480,cell_type,categorical,0.8635505662713852,0.0,0.0,0.8635505662713852
35730,F6891,cell_type,categorical,0.862430337358556,0.0,0.0,0.862430337358556
36641,F9660,cell_type,categorical,0.8620485468885556,0.0,0.0,0.8620485468885556
36058,F7890,cell_type,categorical,0.8618326410176809,0.0,0.0,0.8618326410176809
36433,F8958,cell_type,categorical,0.8609750260392796,0.0,0.0,0.8609750260392796
34057,F1735,cell_type,categorical,0.8599753100404236,0.0,0.0,0.8599753100404236
36599,F9534,cell_type,categorical,0.8591899055346818,0.0,0.0,0.8591899055346818
34375,F2694,cell_type,categorical,0.8591493089054762,0.0,0.0,0.8591493089054762
36815,F10249,cell_type,categorical,0.8588360890050454,0.0,0.0,0.8588360890050454
36618,F9594,cell_type,categorical,0.8573576179780106,0.0,0.0,0.8573576179780106
36189,F8276,cell_type,categorical,0.8549638461931292,0.0,0.0,0.8549638461931292
34309,F2482,cell_type,categorical,0.8529426875798797,0.0,0.0,0.8529426875798797
35928,F7496,cell_type,categorical,0.8519781957880336,0.0,0.0,0.8519781957880336
34172,F2027,cell_type,categorical,0.8496419426058854,0.0,0.0,0.8496419426058854
34066,F1757,cell_type,categorical,0.8489295973931573,0.0,0.0,0.8489295973931573
39924,F9474,tissue,categorical,0.848795131483083,0.0,0.0,0.848795131483083
33675,F577,cell_type,categorical,0.8465322877621942,0.0,0.0,0.8465322877621942
35864,F7303,cell_type,categorical,0.8436634896483088,0.0,0.0,0.8436634896483088
34761,F3879,cell_type,categorical,0.8432430389584159,0.0,0.0,0.8432430389584159
36410,F8913,cell_type,categorical,0.8422884605773401,0.0,0.0,0.8422884605773401
35041,F4738,cell_type,categorical,0.8421402451928973,0.0,0.0,0.8421402451928973
34986,F4572,cell_type,categorical,0.8414841330648904,0.0,0.0,0.8414841330648904
35841,F7237,cell_type,categorical,0.8412783716856186,0.0,0.0,0.8412783716856186
33729,F729,cell_type,categorical,0.8396817638695999,0.0,0.0,0.8396817638695999
36009,F7743,cell_type,categorical,0.8386205497537372,0.0,0.0,0.8386205497537372
35918,F7451,cell_type,categorical,0.8381017813607249,0.0,0.0,0.8381017813607249
33987,F1514,cell_type,categorical,0.8371023938252441,0.0,0.0,0.8371023938252441
34146,F1947,cell_type,categorical,0.8350166434844153,0.0,0.0,0.8350166434844153
35137,F5021,cell_type,categorical,0.8340975439475402,0.0,0.0,0.8340975439475402
33482,F13,cell_type,categorical,0.834003903750027,0.0,0.0,0.834003903750027
35258,F5426,cell_type,categorical,0.8337663771603772,0.0,0.0,0.8337663771603772
34941,F4424,cell_type,categorical,0.8330799426625963,0.0,0.0,0.8330799426625963
35701,F6803,cell_type,categorical,0.8327014370777359,0.0,0.0,0.8327014370777359
33859,F1151,cell_type,categorical,0.8312436139192911,0.0,0.0,0.8312436139192911
36128,F8081,cell_type,categorical,0.830983431681689,0.0,0.0,0.830983431681689
34128,F1915,cell_type,categorical,0.8304539689726699,0.0,0.0,0.8304539689726699
36382,F8822,cell_type,categorical,0.8299946322059343,0.0,0.0,0.8299946322059343
