feature_idx,pca_x,pca_y,sparsity,activation_mean,activation_std,specificity_score,n_associations,strongest_qvalue,strongest_association,attr_type
0,-6.23681,-1.0649648,0.76,0.016710045,0.03598832,1.0,1.0,0.0006315690284154268,cell_type,categorical
1,-1.8162483,-1.3477635,0.46,0.0957616,0.13586238,0.3333333333333333,4.0,3.4678013791629747e-05,cell_type,categorical
2,-1.5108483,-4.189928,0.44,0.090962574,0.11221943,1.0,2.0,0.0004839444595496803,cell_type,categorical
3,0.56554896,-2.9846885,0.22,0.12916923,0.11481663,1.0,2.0,0.00032931017278368545,cell_type,categorical
4,1.7919718,-3.2352607,0.16,0.1506412,0.13171628,1.0,2.0,0.015555710531459568,Inflammation_Response,continuous
5,-6.6086245,0.5431743,0.77,0.011829831,0.028317982,0.1111111111111111,9.0,7.647770711153787e-05,n_genes,continuous
6,6.085095,-5.8627944,0.16,0.21792778,0.16939126,1.0,2.0,2.1819502116287665e-07,cell_type,categorical
7,-6.7513523,-0.11893918,0.91,0.010098662,0.046242144,0.1111111111111111,11.0,9.495384225284226e-16,n_counts,continuous
8,6.1807704,-6.2494736,0.2,0.21523842,0.17980461,1.0,2.0,2.2162961981729553e-07,cell_type,categorical
9,-1.0349123,-1.8700218,0.25,0.10380528,0.11048846,1.0,1.0,0.0014848548936120135,cell_type,categorical
10,12.252003,0.55619216,0.03,0.32056916,0.17463292,1.0,1.0,8.921955362057031e-05,cell_type,categorical
11,1.738188,1.7284471,0.21,0.17168483,0.1823813,1.0,1.0,1.242625344062633e-07,cell_type,categorical
12,-6.7875485,-0.51422757,0.88,0.008252964,0.026584957,0.125,9.0,1.9070542289111127e-14,n_counts,continuous
13,-0.96620095,4.7271924,0.32,0.10752705,0.11911005,0.25,5.0,4.161001824227173e-06,cell_type,categorical
14,-1.5781256,-0.60728925,0.4,0.099866755,0.116882116,1.0,1.0,0.004138945505834941,cell_type,categorical
15,10.697458,1.6878195,0.1,0.29422757,0.19251966,0.3333333333333333,4.0,1.3443152298428366e-07,cell_type,categorical
16,-6.5474215,-0.19582315,0.83,0.01716339,0.049342435,0.1111111111111111,10.0,2.496255646146255e-13,Oxidative_Phosphorylation,continuous
17,8.821516,9.151032,0.24,0.28613538,0.24026145,1.0,2.0,6.911844903681035e-10,cell_type,categorical
18,-7.268975,-0.3828045,1.0,0.0,0.0,0.0,,,None,
19,-2.902682,-0.9868223,0.34,0.072409995,0.07622203,0.0,,,None,
20,-5.76733,-1.1319445,0.71,0.027194832,0.057221867,0.3333333333333333,4.0,5.497297343165698e-09,pct_ribo,continuous
21,1.2071728,2.1254756,0.18,0.1530359,0.13080788,0.5,3.0,9.463127395135745e-07,cell_type,categorical
22,-1.8968085,-0.36531997,0.38,0.10046458,0.11421491,0.3333333333333333,4.0,1.553504985479534e-08,cell_type,categorical
23,-4.3105407,0.10099721,0.5,0.050487313,0.07414928,1.0,2.0,0.0023838271114166227,cell_type,categorical
24,-7.268975,-0.3828045,1.0,0.0,0.0,0.0,,,None,
25,6.3169203,2.0651805,0.07,0.23347557,0.14681493,1.0,2.0,2.2613884939081483e-08,cell_type,categorical
26,-0.28037122,3.1621463,0.22,0.12702319,0.10774732,1.0,2.0,3.7134187541954684e-05,cell_type,categorical
27,4.0896764,2.641542,0.4,0.20016809,0.21707527,0.5,3.0,2.2026488496501956e-08,cell_type,categorical
28,18.397448,-10.49988,0.13,0.43410644,0.2979401,1.0,2.0,3.7927957855012025e-16,Inflammation_Response,continuous
29,-5.686575,-0.06412326,0.8,0.032343663,0.08828492,0.125,8.0,1.9031461409504803e-12,Oxidative_Phosphorylation,continuous
30,-5.0142946,-1.2932012,0.65,0.040095706,0.07234483,0.5,3.0,2.4661820077422457e-05,Inflammation_Response,continuous
31,-2.286702,3.6189947,0.33,0.089423,0.09868843,1.0,2.0,1.744326885480162e-06,cell_type,categorical
32,-0.7827357,3.4216948,0.41,0.113974705,0.14358082,1.0,1.0,0.01483149241433659,cell_type,categorical
33,-7.109141,-0.466956,0.94,0.0031044174,0.015730413,0.14285714285714285,8.0,1.48591768774346e-07,G2M_score,continuous
34,-3.2096322,3.5729704,0.5,0.069864,0.09797694,1.0,2.0,4.648847540724205e-05,pct_ribo,continuous
35,-6.790791,-0.73358727,0.94,0.0069390237,0.031272035,0.1,10.0,3.1786403497688905e-22,n_counts,continuous
36,2.8650804,0.83955705,0.16,0.17109455,0.12880994,1.0,1.0,0.026680242266380078,cell_type,categorical
37,-0.9306931,-2.0291948,0.53,0.09797285,0.14060655,0.25,5.0,7.58692788144303e-10,cell_type,categorical
38,2.7495399,5.1425834,0.16,0.17586154,0.14294358,0.5,3.0,8.567727020596258e-07,cell_type,categorical
39,7.728028,7.3923235,0.24,0.2810955,0.26331633,0.2,6.0,3.9466947608806354e-10,cell_type,categorical
40,-6.646945,-0.018765686,0.88,0.015254153,0.04924464,0.125,9.0,5.048920570934791e-06,DNA_Repair,continuous
41,-6.8432546,-0.6724893,0.9,0.006803907,0.024413941,0.5,3.0,4.179576685986167e-05,pct_mito,continuous
42,-2.7580397,-2.5155604,0.63,0.08021076,0.13667746,0.25,5.0,1.3387787956537616e-07,cell_type,categorical
43,-2.7384892,3.430548,0.45,0.07798202,0.09108086,0.5,3.0,6.3485707398604274e-06,cell_type,categorical
44,11.975329,3.2079275,0.1,0.31088758,0.19805224,1.0,2.0,1.5462410682656187e-06,cell_type,categorical
45,-5.677969,-1.4865788,0.76,0.027402861,0.076948255,0.1111111111111111,10.0,3.6779852913267153e-09,n_counts,continuous
46,3.571782,7.484118,0.27,0.19044918,0.17485856,0.5,4.0,1.998430568410625e-09,pct_ribo,continuous
47,5.486663,4.634224,0.13,0.2084977,0.16662152,1.0,2.0,3.4878162434016457e-06,cell_type,categorical
48,-7.268975,-0.3828045,1.0,0.0,0.0,0.0,,,None,
49,-7.268975,-0.3828045,1.0,0.0,0.0,0.0,,,None,
50,-0.3299577,3.21201,0.24,0.12491777,0.1087915,1.0,1.0,7.540093853370155e-07,cell_type,categorical
51,-3.342464,-0.26142395,0.45,0.06751741,0.08574979,1.0,2.0,0.0021556563697744642,cell_type,categorical
52,-5.791077,-0.37597123,0.7,0.027626228,0.054678343,0.25,5.0,0.0003826793863701886,n_counts,continuous
53,-3.714414,-1.65852,0.67,0.06251607,0.104800925,0.5,3.0,6.11197758017565e-06,cell_type,categorical
54,-4.4452233,1.9677627,0.56,0.054704126,0.089135036,0.3333333333333333,4.0,0.005627265565561611,Inflammation_Response,continuous
55,16.803106,6.34538,0.01,0.40198648,0.18447153,1.0,2.0,1.586135823926088e-05,cell_type,categorical
56,7.275231,-3.779535,0.15,0.23998071,0.18427232,0.5,3.0,1.5882380175319812e-05,cell_type,categorical
57,12.105119,-7.152893,0.15,0.32551375,0.2317872,1.0,2.0,2.996077829839328e-07,cell_type,categorical
58,-4.6342483,-0.8364357,0.58,0.04459963,0.07392197,0.25,5.0,0.003468768620863257,DNA_Repair,continuous
59,-2.9791377,-2.5591996,0.63,0.070218265,0.11564656,1.0,2.0,3.73572128245998e-08,cell_type,categorical
60,-1.9134656,0.36851138,0.2,0.09328209,0.081882186,1.0,1.0,0.0024643274335475547,Inflammation_Response,continuous
61,5.9934936,3.4662578,0.09,0.23273821,0.14423409,1.0,1.0,6.862825107311201e-08,cell_type,categorical
62,19.790207,-1.3033897,0.03,0.4405866,0.26574242,0.5,3.0,8.973216677347247e-09,cell_type,categorical
63,-0.5149514,-0.66493934,0.29,0.11243605,0.10568714,1.0,2.0,1.7428841978186902e-06,cell_type,categorical
64,1.3653313,-2.489765,0.27,0.14147209,0.13392833,1.0,1.0,0.00012215004341736165,cell_type,categorical
65,-2.031863,4.7030787,0.45,0.08742039,0.12324233,0.5,3.0,3.533145652251086e-05,pct_ribo,continuous
66,-2.177534,-1.5263857,0.45,0.09243251,0.12184763,0.5,3.0,2.7676538334947333e-05,cell_type,categorical
67,-3.303087,-0.93667257,0.52,0.06375748,0.09491526,1.0,1.0,1.69504129417316e-05,cell_type,categorical
68,-4.063172,-0.7303291,0.66,0.057222452,0.11250308,0.16666666666666666,7.0,3.708038506063248e-07,cell_type,categorical
69,-5.659676,-0.9123283,0.69,0.028490257,0.056126676,0.2,6.0,0.0001775657432204804,cell_type,categorical
70,5.080549,11.083811,0.33,0.23012586,0.2417096,0.5,3.0,4.807770599940921e-10,cell_type,categorical
71,0.5863991,-2.4076757,0.26,0.13298047,0.12668769,0.5,3.0,9.421990258546076e-07,cell_type,categorical
72,6.561179,-7.001483,0.21,0.22062916,0.22854489,1.0,2.0,5.850367955304925e-07,cell_type,categorical
73,-4.0960865,-1.0658174,0.58,0.059824914,0.112141795,0.3333333333333333,4.0,2.6405396192196996e-05,cell_type,categorical
74,-1.9747343,-1.6044757,0.24,0.092897154,0.0987852,1.0,2.0,2.7959105627320696e-06,pct_ribo,continuous
75,4.072072,10.058789,0.2,0.19429415,0.22102433,1.0,2.0,7.573929120292113e-08,cell_type,categorical
76,-6.186753,0.33506852,0.81,0.019342668,0.05944055,0.1111111111111111,10.0,5.411099364618221e-07,n_genes,continuous
77,-1.6363573,1.4783909,0.41,0.102004156,0.14999895,1.0,1.0,3.4252001141567005e-07,cell_type,categorical
78,-2.691671,-1.0018022,0.47,0.09453369,0.13892691,0.5,3.0,1.965637339461115e-09,cell_type,categorical
79,18.401104,-7.2374487,0.03,0.41607118,0.20426288,1.0,2.0,1.3126554309124271e-08,cell_type,categorical
80,6.990249,-3.375325,0.13,0.24123423,0.16908537,1.0,2.0,5.9221333645395296e-05,cell_type,categorical
81,-0.5267975,4.7420645,0.39,0.11346728,0.13268863,0.5,3.0,4.940229270229292e-07,cell_type,categorical
82,-7.268975,-0.3828045,1.0,0.0,0.0,0.0,,,None,
83,-0.8672241,-4.001768,0.38,0.101148665,0.11174901,1.0,1.0,2.0466206232367296e-06,cell_type,categorical
84,-1.5792146,-0.97328126,0.35,0.0932796,0.09978577,1.0,1.0,5.8867702063580974e-05,cell_type,categorical
85,3.280607,-1.081158,0.12,0.1762615,0.130073,1.0,1.0,0.002841534406595664,cell_type,categorical
86,6.3800373,2.9250002,0.11,0.22067569,0.15293317,0.3333333333333333,4.0,2.150415091284182e-09,cell_type,categorical
87,-0.029591262,3.8459797,0.29,0.123784654,0.124467686,1.0,2.0,1.2123183845540534e-06,cell_type,categorical
88,-3.2863584,-1.2468576,0.52,0.062529236,0.08533465,0.5,3.0,8.797125586582467e-06,cell_type,categorical
89,1.4830979,-4.9329,0.32,0.14839107,0.14127995,1.0,2.0,3.403014722354856e-08,cell_type,categorical
90,0.31350908,2.6318166,0.19,0.1296816,0.123175584,0.25,5.0,2.9010620231921044e-08,Inflammation_Response,continuous
91,-5.4989324,2.498022,0.77,0.0331544,0.08139081,0.14285714285714285,7.0,0.0030431865809484194,n_genes,continuous
92,-6.9459577,-0.4095379,0.93,0.007293557,0.04213773,0.125,9.0,4.217807664875049e-17,n_counts,continuous
93,1.8430697,0.00460265,0.22,0.15680642,0.15708493,1.0,1.0,0.006895059570627999,cell_type,categorical
