feature_idx,specificity_score,n_associations,strongest_qvalue,strongest_association,attr_type
0,1.0,1,0.0006315690284154268,cell_type,categorical
1,0.3333333333333333,4,3.4678013791629747e-05,cell_type,categorical
2,1.0,2,0.0004839444595496803,cell_type,categorical
3,1.0,2,0.00032931017278368545,cell_type,categorical
4,1.0,2,0.015555710531459568,Inflammation_Response,continuous
5,0.1111111111111111,9,7.647770711153787e-05,n_genes,continuous
6,1.0,2,2.1819502116287665e-07,cell_type,categorical
7,0.1111111111111111,11,9.495384225284226e-16,n_counts,continuous
8,1.0,2,2.2162961981729553e-07,cell_type,categorical
9,1.0,1,0.0014848548936120135,cell_type,categorical
10,1.0,1,8.921955362057031e-05,cell_type,categorical
11,1.0,1,1.242625344062633e-07,cell_type,categorical
12,0.125,9,1.9070542289111127e-14,n_counts,continuous
13,0.25,5,4.161001824227173e-06,cell_type,categorical
14,1.0,1,0.004138945505834941,cell_type,categorical
15,0.3333333333333333,4,1.3443152298428366e-07,cell_type,categorical
16,0.1111111111111111,10,2.496255646146255e-13,Oxidative_Phosphorylation,continuous
17,1.0,2,6.911844903681035e-10,cell_type,categorical
20,0.3333333333333333,4,5.497297343165698e-09,pct_ribo,continuous
21,0.5,3,9.463127395135745e-07,cell_type,categorical
22,0.3333333333333333,4,1.553504985479534e-08,cell_type,categorical
23,1.0,2,0.0023838271114166227,cell_type,categorical
25,1.0,2,2.2613884939081483e-08,cell_type,categorical
26,1.0,2,3.7134187541954684e-05,cell_type,categorical
27,0.5,3,2.2026488496501956e-08,cell_type,categorical
28,1.0,2,3.7927957855012025e-16,Inflammation_Response,continuous
29,0.125,8,1.9031461409504803e-12,Oxidative_Phosphorylation,continuous
30,0.5,3,2.4661820077422457e-05,Inflammation_Response,continuous
31,1.0,2,1.744326885480162e-06,cell_type,categorical
32,1.0,1,0.01483149241433659,cell_type,categorical
33,0.14285714285714285,8,1.48591768774346e-07,G2M_score,continuous
34,1.0,2,4.648847540724205e-05,pct_ribo,continuous
35,0.1,10,3.1786403497688905e-22,n_counts,continuous
36,1.0,1,0.026680242266380078,cell_type,categorical
37,0.25,5,7.58692788144303e-10,cell_type,categorical
38,0.5,3,8.567727020596258e-07,cell_type,categorical
39,0.2,6,3.9466947608806354e-10,cell_type,categorical
40,0.125,9,5.048920570934791e-06,DNA_Repair,continuous
41,0.5,3,4.179576685986167e-05,pct_mito,continuous
42,0.25,5,1.3387787956537616e-07,cell_type,categorical
43,0.5,3,6.3485707398604274e-06,cell_type,categorical
44,1.0,2,1.5462410682656187e-06,cell_type,categorical
45,0.1111111111111111,10,3.6779852913267153e-09,n_counts,continuous
46,0.5,4,1.998430568410625e-09,pct_ribo,continuous
47,1.0,2,3.4878162434016457e-06,cell_type,categorical
50,1.0,1,7.540093853370155e-07,cell_type,categorical
51,1.0,2,0.0021556563697744642,cell_type,categorical
52,0.25,5,0.0003826793863701886,n_counts,continuous
53,0.5,3,6.11197758017565e-06,cell_type,categorical
54,0.3333333333333333,4,0.005627265565561611,Inflammation_Response,continuous
55,1.0,2,1.586135823926088e-05,cell_type,categorical
56,0.5,3,1.5882380175319812e-05,cell_type,categorical
57,1.0,2,2.996077829839328e-07,cell_type,categorical
58,0.25,5,0.003468768620863257,DNA_Repair,continuous
59,1.0,2,3.73572128245998e-08,cell_type,categorical
60,1.0,1,0.0024643274335475547,Inflammation_Response,continuous
61,1.0,1,6.862825107311201e-08,cell_type,categorical
62,0.5,3,8.973216677347247e-09,cell_type,categorical
63,1.0,2,1.7428841978186902e-06,cell_type,categorical
64,1.0,1,0.00012215004341736165,cell_type,categorical
65,0.5,3,3.533145652251086e-05,pct_ribo,continuous
66,0.5,3,2.7676538334947333e-05,cell_type,categorical
67,1.0,1,1.69504129417316e-05,cell_type,categorical
68,0.16666666666666666,7,3.708038506063248e-07,cell_type,categorical
69,0.2,6,0.0001775657432204804,cell_type,categorical
70,0.5,3,4.807770599940921e-10,cell_type,categorical
71,0.5,3,9.421990258546076e-07,cell_type,categorical
72,1.0,2,5.850367955304925e-07,cell_type,categorical
